Filename,Asset Groups,Categories,Date Added,Date Updated,Width,Height,Colorspace,Resolution,File Format,Release Date,Expiration Date,Filesize,Global Collection,Metadata Type,Anatomy,Approval Id,Approval System,Apttus Product Code,Audience/Persona,Care Area / Specialties,Country of Use,Description,Display Name,File Type,Is Final,Language,MobilityCOE Content Type,PIM Asset Description,PIM Asset Name,PIM Country,PIM Environment,PIM Language,PIM Metadata,PIM Product Type,Parent Product Code,Product / Services,Product Group,Region,Uploader First Name,Uploader Last Name,Uploader Username,Embed ID,Download Link,640px Landscape,640px Portrait,Original,Wall N,Video with Player,Video with Player and Download,Video (No Player),Video Thumbnail,Streaming MP3,Document View and Download,Document View - HTML5,Document View - PDF,Thumbnail,Spinset with Viewer,Spinset with Viewer and Download,Spinset Thumbnail
1732285444132-Digital Innovations Image 1.png,1eCommerce Asset Group,1eCommerce/Shop,11/22/2024,11/22/2024,1027,1027,Unknown,300,PNG,11/22/2024,,0.43 mb,,PIM Metadata Type,,,,Vscan Air SL Caption AI (Stand-alone) FlexiPackage EUR_V2,,,,,,,,,,1,1,DE,prd,de,,EQUIPMENT,ULS_PCL_PRICARE_0015_IB,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,rgmhvcbods,https://gehealthcare.widen.net/content/rgmhvcbods/original/1732285444132-Digital-Innovations-Image-1.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/rgmhvcbods/jpeg/1732285444132-Digital%20Innovations%20Image%201.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/rgmhvcbods/jpeg/1732285444132-Digital%20Innovations%20Image%201.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/rgmhvcbods/jpeg/1732285444132-Digital%20Innovations%20Image%201.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/rgmhvcbods/jpeg/1732285444132-Digital%20Innovations%20Image%201.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1732285444283-Digital Innovations Image 4.png,1eCommerce Asset Group,1eCommerce/Shop,11/22/2024,11/22/2024,1027,1027,Unknown,300,PNG,11/22/2024,,0.43 mb,,PIM Metadata Type,,,,Vscan Air SL Caption AI (Stand-alone) FlexiPackage EUR_V2,,,,,,,,,,4,4,DE,prd,de,,EQUIPMENT,ULS_PCL_PRICARE_0015_IB,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,8kvva0fze5,https://gehealthcare.widen.net/content/8kvva0fze5/original/1732285444283-Digital-Innovations-Image-4.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/8kvva0fze5/jpeg/1732285444283-Digital%20Innovations%20Image%204.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/8kvva0fze5/jpeg/1732285444283-Digital%20Innovations%20Image%204.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/8kvva0fze5/jpeg/1732285444283-Digital%20Innovations%20Image%204.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/8kvva0fze5/jpeg/1732285444283-Digital%20Innovations%20Image%204.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1732285444328-Digital Innovations Image 3.png,1eCommerce Asset Group,1eCommerce/Shop,11/22/2024,11/22/2024,1027,1027,Unknown,300,PNG,11/22/2024,,0.41 mb,,PIM Metadata Type,,,,Vscan Air SL Caption AI (Stand-alone) FlexiPackage EUR_V2,,,,,,,,,,3,3,DE,prd,de,,EQUIPMENT,ULS_PCL_PRICARE_0015_IB,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,ojxjkuevjd,https://gehealthcare.widen.net/content/ojxjkuevjd/original/1732285444328-Digital-Innovations-Image-3.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/ojxjkuevjd/jpeg/1732285444328-Digital%20Innovations%20Image%203.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/ojxjkuevjd/jpeg/1732285444328-Digital%20Innovations%20Image%203.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/ojxjkuevjd/jpeg/1732285444328-Digital%20Innovations%20Image%203.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/ojxjkuevjd/jpeg/1732285444328-Digital%20Innovations%20Image%203.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1732285443822-Digital Innovations Image 2.png,1eCommerce Asset Group,1eCommerce/Shop,11/22/2024,11/22/2024,1027,1027,Unknown,300,PNG,11/22/2024,,0.08 mb,,PIM Metadata Type,,,,Vscan Air SL Caption AI (Stand-alone) FlexiPackage EUR_V2,,,,,,,,,,2,2,DE,prd,de,,EQUIPMENT,ULS_PCL_PRICARE_0015_IB,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,wr5jycic3i,https://gehealthcare.widen.net/content/wr5jycic3i/original/1732285443822-Digital-Innovations-Image-2.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/wr5jycic3i/jpeg/1732285443822-Digital%20Innovations%20Image%202.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/wr5jycic3i/jpeg/1732285443822-Digital%20Innovations%20Image%202.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/wr5jycic3i/jpeg/1732285443822-Digital%20Innovations%20Image%202.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/wr5jycic3i/jpeg/1732285443822-Digital%20Innovations%20Image%202.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1732199501719-Vscan Air SL Wireless Charging Pad (1).png,1eCommerce Asset Group,1eCommerce/Shop,11/21/2024,11/21/2024,2961,2961,Unknown,300,PNG,11/21/2024,,0.27 mb,,PIM Metadata Type,,,,New Charger FlexiPackage NOK,,,,,,,,,,Vscan Air SL Wireless Charging Pad,Vscan Air SL Wireless Charging Pad,NO,prd,en_NO,,EQUIPMENT,ULS_PCL_PRICARE_0015_IB,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,brxsi8cxba,https://gehealthcare.widen.net/content/brxsi8cxba/original/1732199501719-Vscan-Air-SL-Wireless-Charging-Pad-1.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/brxsi8cxba/jpeg/1732199501719-Vscan%20Air%20SL%20Wireless%20Charging%20Pad%20%281%29.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/brxsi8cxba/jpeg/1732199501719-Vscan%20Air%20SL%20Wireless%20Charging%20Pad%20%281%29.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/brxsi8cxba/jpeg/1732199501719-Vscan%20Air%20SL%20Wireless%20Charging%20Pad%20%281%29.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/brxsi8cxba/jpeg/1732199501719-Vscan%20Air%20SL%20Wireless%20Charging%20Pad%20%281%29.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1732199432856-123 sonography  for both OBGYN & Focus class.png,1eCommerce Asset Group,1eCommerce/Shop,11/21/2024,11/21/2024,636,692,Unknown,300,PNG,11/21/2024,,0.06 mb,,PIM Metadata Type,,,,PoCUS Focus Class FlexiPackage NOK,,,,,,,,,,123 sonography for both OBGYN & Focus class,123 sonography for both OBGYN & Focus class,NO,prd,en_NO,,EQUIPMENT,ULS_PCL_PRICARE_0015_IB,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,5xfpcej0dc,https://gehealthcare.widen.net/content/5xfpcej0dc/original/1732199432856-123-sonography--for-both-OBGYN--Focus-class.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/5xfpcej0dc/jpeg/1732199432856-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/5xfpcej0dc/jpeg/1732199432856-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/5xfpcej0dc/jpeg/1732199432856-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/5xfpcej0dc/jpeg/1732199432856-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1732199347169-Vscan Air CL carrying case.png,1eCommerce Asset Group,1eCommerce/Shop,11/21/2024,11/21/2024,1027,1027,Unknown,300,PNG,11/21/2024,,0.14 mb,,PIM Metadata Type,,,,Vscan Air CL Carry Case FlexiPackage NOK,,,,,,,,,,Vscan Air CL carrying case,Vscan Air CL carrying case,NO,prd,en_NO,,EQUIPMENT,ULS_PCL_PRICARE_0015_IB,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,tjhccwdtnw,https://gehealthcare.widen.net/content/tjhccwdtnw/original/1732199347169-Vscan-Air-CL-carrying-case.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/tjhccwdtnw/jpeg/1732199347169-Vscan%20Air%20CL%20carrying%20case.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/tjhccwdtnw/jpeg/1732199347169-Vscan%20Air%20CL%20carrying%20case.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/tjhccwdtnw/jpeg/1732199347169-Vscan%20Air%20CL%20carrying%20case.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/tjhccwdtnw/jpeg/1732199347169-Vscan%20Air%20CL%20carrying%20case.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1732198876690-Vscan Air SL Protective Carrying Case.png,1eCommerce Asset Group,1eCommerce/Shop,11/21/2024,11/21/2024,1027,1027,Unknown,300,PNG,11/21/2024,,0.14 mb,,PIM Metadata Type,,,,Vscan Air SL Carry Case FlexiPackage NOK,,,,,,,,,,Vscan Air SL Protective Carrying Case,Vscan Air SL Protective Carrying Case,NO,prd,en_NO,,EQUIPMENT,ULS_PCL_PRICARE_0015_IB,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,inhvuwgzgt,https://gehealthcare.widen.net/content/inhvuwgzgt/original/1732198876690-Vscan-Air-SL-Protective-Carrying-Case.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/inhvuwgzgt/jpeg/1732198876690-Vscan%20Air%20SL%20Protective%20Carrying%20Case.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/inhvuwgzgt/jpeg/1732198876690-Vscan%20Air%20SL%20Protective%20Carrying%20Case.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/inhvuwgzgt/jpeg/1732198876690-Vscan%20Air%20SL%20Protective%20Carrying%20Case.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/inhvuwgzgt/jpeg/1732198876690-Vscan%20Air%20SL%20Protective%20Carrying%20Case.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1732198847468-Vscan Air Roll Stand (1).png,1eCommerce Asset Group,1eCommerce/Shop,11/21/2024,11/21/2024,2280,2280,Unknown,300,PNG,11/21/2024,,0.21 mb,,PIM Metadata Type,,,,Roll Stand FlexiPackage NOK,,,,,,,,,,Vscan Air Roll Stand,Vscan Air Roll Stand,NO,prd,en_NO,,EQUIPMENT,ULS_PCL_PRICARE_0015_IB,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,r65cwvrutk,https://gehealthcare.widen.net/content/r65cwvrutk/original/1732198847468-Vscan-Air-Roll-Stand-1.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/r65cwvrutk/jpeg/1732198847468-Vscan%20Air%20Roll%20Stand%20%281%29.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/r65cwvrutk/jpeg/1732198847468-Vscan%20Air%20Roll%20Stand%20%281%29.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/r65cwvrutk/jpeg/1732198847468-Vscan%20Air%20Roll%20Stand%20%281%29.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/r65cwvrutk/jpeg/1732198847468-Vscan%20Air%20Roll%20Stand%20%281%29.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1732198610093-123 sonography  for both OBGYN & Focus class.png,1eCommerce Asset Group,1eCommerce/Shop,11/21/2024,11/21/2024,636,692,Unknown,300,PNG,11/21/2024,,0.06 mb,,PIM Metadata Type,,,,OB GYN Focus Class FlexiPackage NOK,,,,,,,,,,123 sonography for both OBGYN & Focus class,123 sonography for both OBGYN & Focus class,NO,prd,en_NO,,EQUIPMENT,ULS_PCL_PRICARE_0015_IB,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,adeipw6rnb,https://gehealthcare.widen.net/content/adeipw6rnb/original/1732198610093-123-sonography--for-both-OBGYN--Focus-class.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/adeipw6rnb/jpeg/1732198610093-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/adeipw6rnb/jpeg/1732198610093-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/adeipw6rnb/jpeg/1732198610093-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/adeipw6rnb/jpeg/1732198610093-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1732193602089-Vscan Air SL 1 Year of Innovations Subscription (1).png,1eCommerce Asset Group,1eCommerce/Shop,11/21/2024,11/21/2024,1027,1027,Unknown,300,PNG,11/21/2024,,0.43 mb,,PIM Metadata Type,,,,Vscan Air SL Caption AI (Stand-alone) FlexiPackage EUR_V2,,,,,,,,,,Vscan Air SL 1 Year of Innovations Subscription,Vscan Air SL 1 Year of Innovations Subscription,NL,prd,en_NL,,EQUIPMENT,ULS_PCL_PRICARE_0015_IB,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,jsuak6m3is,https://gehealthcare.widen.net/content/jsuak6m3is/original/1732193602089-Vscan-Air-SL-1-Year-of-Innovations-Subscription-1.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/jsuak6m3is/jpeg/1732193602089-Vscan%20Air%20SL%201%20Year%20of%20Innovations%20Subscription%20%281%29.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/jsuak6m3is/jpeg/1732193602089-Vscan%20Air%20SL%201%20Year%20of%20Innovations%20Subscription%20%281%29.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/jsuak6m3is/jpeg/1732193602089-Vscan%20Air%20SL%201%20Year%20of%20Innovations%20Subscription%20%281%29.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/jsuak6m3is/jpeg/1732193602089-Vscan%20Air%20SL%201%20Year%20of%20Innovations%20Subscription%20%281%29.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1732189457057-123 sonography  for both OBGYN & Focus class.png,1eCommerce Asset Group,1eCommerce/Shop,11/21/2024,11/21/2024,636,692,Unknown,300,PNG,11/21/2024,,0.06 mb,,PIM Metadata Type,,,,QA_ULS_PCL_PRICARE_0023,,,,,,,,,,qwe,test image,IT,prd,it_IT,,EQUIPMENT,QA_ULS_PCL_PRICARE_0023,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,st4ucgwzem,https://gehealthcare.widen.net/content/st4ucgwzem/original/1732189457057-123-sonography--for-both-OBGYN--Focus-class.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/st4ucgwzem/jpeg/1732189457057-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/st4ucgwzem/jpeg/1732189457057-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/st4ucgwzem/jpeg/1732189457057-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/st4ucgwzem/jpeg/1732189457057-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1732188596067-Screenshot 2024-11-21 165046.png,1eCommerce Asset Group,1eCommerce/Shop,11/21/2024,11/21/2024,1360,598,Unknown,300,PNG,11/21/2024,,0.19 mb,,PIM Metadata Type,,,,QA_ULS_PCL_PRICARE_0023,,,,,,,,,,Test,Test,BR,prd,pt_BR,,EQUIPMENT,QA_ULS_PCL_PRICARE_0023,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,brvphioys9,https://gehealthcare.widen.net/content/brvphioys9/original/1732188596067-Screenshot-2024-11-21-165046.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/brvphioys9/jpeg/1732188596067-Screenshot%202024-11-21%20165046.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/brvphioys9/jpeg/1732188596067-Screenshot%202024-11-21%20165046.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/brvphioys9/jpeg/1732188596067-Screenshot%202024-11-21%20165046.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/brvphioys9/jpeg/1732188596067-Screenshot%202024-11-21%20165046.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1732185581226-123 sonography  for both OBGYN & Focus class.png,1eCommerce Asset Group,1eCommerce/Shop,11/21/2024,11/21/2024,636,692,Unknown,300,PNG,11/21/2024,,0.06 mb,,PIM Metadata Type,,,,PoCUS Focus Class FlexiPackage,,,,,,,,,,123 sonography for both OBGYN & Focus class,123 sonography for both OBGYN & Focus class,NL,prd,en_NL,,EQUIPMENT,ULS_PCL_PRICARE_0015_IB,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,0dpim4xxln,https://gehealthcare.widen.net/content/0dpim4xxln/original/1732185581226-123-sonography--for-both-OBGYN--Focus-class.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/0dpim4xxln/jpeg/1732185581226-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/0dpim4xxln/jpeg/1732185581226-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/0dpim4xxln/jpeg/1732185581226-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/0dpim4xxln/jpeg/1732185581226-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1732183978075-123 sonography  for both OBGYN & Focus class.png,1eCommerce Asset Group,1eCommerce/Shop,11/21/2024,11/21/2024,636,692,Unknown,300,PNG,11/21/2024,,0.06 mb,,PIM Metadata Type,,,,OB GYN Focus Class FlexiPackage,,,,,,,,,,123 sonography for both OBGYN & Focus class,123 sonography for both OBGYN & Focus class,NL,prd,en_NL,,EQUIPMENT,ULS_PCL_PRICARE_0015_IB,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,ugu3kblqcs,https://gehealthcare.widen.net/content/ugu3kblqcs/original/1732183978075-123-sonography--for-both-OBGYN--Focus-class.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/ugu3kblqcs/jpeg/1732183978075-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/ugu3kblqcs/jpeg/1732183978075-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/ugu3kblqcs/jpeg/1732183978075-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/ugu3kblqcs/jpeg/1732183978075-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1732178863980-Vscan Air SL Protective Carrying Case.png,1eCommerce Asset Group,1eCommerce/Shop,11/21/2024,11/21/2024,1027,1027,Unknown,300,PNG,11/21/2024,,0.14 mb,,PIM Metadata Type,,,,Vscan Air SL Carry Case FlexiPackage,,,,,,,,,,Vscan Air SL Protective Carrying Case,Vscan Air SL Protective Carrying Case,NL,prd,en_NL,,EQUIPMENT,ULS_PCL_PRICARE_0015_IB,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,ridq8u8qzr,https://gehealthcare.widen.net/content/ridq8u8qzr/original/1732178863980-Vscan-Air-SL-Protective-Carrying-Case.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/ridq8u8qzr/jpeg/1732178863980-Vscan%20Air%20SL%20Protective%20Carrying%20Case.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/ridq8u8qzr/jpeg/1732178863980-Vscan%20Air%20SL%20Protective%20Carrying%20Case.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/ridq8u8qzr/jpeg/1732178863980-Vscan%20Air%20SL%20Protective%20Carrying%20Case.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/ridq8u8qzr/jpeg/1732178863980-Vscan%20Air%20SL%20Protective%20Carrying%20Case.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1732178099193-Vscan Air CL carrying case (1).png,1eCommerce Asset Group,1eCommerce/Shop,11/21/2024,11/21/2024,1027,1027,Unknown,300,PNG,11/21/2024,,0.14 mb,,PIM Metadata Type,,,,Vscan Air CL Carry Case FlexiPackage,,,,,,,,,,Vscan Air CL carrying case,Vscan Air CL carrying case,NL,prd,en_NL,,EQUIPMENT,ULS_PCL_PRICARE_0015_IB,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,bi5jldpvav,https://gehealthcare.widen.net/content/bi5jldpvav/original/1732178099193-Vscan-Air-CL-carrying-case-1.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/bi5jldpvav/jpeg/1732178099193-Vscan%20Air%20CL%20carrying%20case%20%281%29.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/bi5jldpvav/jpeg/1732178099193-Vscan%20Air%20CL%20carrying%20case%20%281%29.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/bi5jldpvav/jpeg/1732178099193-Vscan%20Air%20CL%20carrying%20case%20%281%29.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/bi5jldpvav/jpeg/1732178099193-Vscan%20Air%20CL%20carrying%20case%20%281%29.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1732177476930-Vscan Air SL Carrying Case-2.png,1eCommerce Asset Group,1eCommerce/Shop,11/21/2024,11/21/2024,1027,1027,Unknown,300,PNG,11/21/2024,,0.14 mb,,PIM Metadata Type,,,,undefined,,,,,,,,,,img1,img1,FR,prd,fr,,EQUIPMENT,undefined,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,n1rnoza0dq,https://gehealthcare.widen.net/content/n1rnoza0dq/original/1732177476930-Vscan-Air-SL-Carrying-Case-2.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/n1rnoza0dq/jpeg/1732177476930-Vscan%20Air%20SL%20Carrying%20Case-2.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/n1rnoza0dq/jpeg/1732177476930-Vscan%20Air%20SL%20Carrying%20Case-2.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/n1rnoza0dq/jpeg/1732177476930-Vscan%20Air%20SL%20Carrying%20Case-2.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/n1rnoza0dq/jpeg/1732177476930-Vscan%20Air%20SL%20Carrying%20Case-2.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
